SECTION;AUTO/CV;CATEGORY;FOCUS;NEWS LINK;DATE;ADDITIONAL INFORMATION
News&Trends;CV;Truck;North America;Class 8 Orders Soar More Than 100% Sequentially in December - TT;19.01.2026;
News&Trends;CV;Truck;North America;Muted trucking recovery projected in 2026, FTR says - Truck News;19.01.2026;
News&Trends;CV;Agriculture;Outlook;Ag Equipment Sales Slide as 2025 Closes Weak - RFD-TV;19.01.2026;
News&Trends;Automotive/CV;Global Growth;Outlook;Global_Macro_And_Industry_Key_Themes_For_2026_Sample.pdf;19.01.2026;
News&Trends;CV;Agriculture;UK Outlook;UK tractor registrations fall to all-time low in 2025 - Farmers Guide;19.01.2026;
Competitor&Partnership;Automotive;Seating;Forvia;Faurecia settles auto seat frame project in Jiaxing - MarkLines Automotive Industry Portal;16.01.2026;
Customer;CV;Truck;MAN;MAN Truck unveils MAN2030+ program strategy with EUR 1 billion investment in German sites - MarkLines Automotive Industry Portal;16.01.2026;MAN Truck & Bus invests nearly one billion euros in German sites and sets course for the future
Customer;Automotive;Electrification;Porsche;Porsche to phase out gasoline 718 and Macan models in 2026 - MarkLines Automotive Industry Portal;16.01.2026;Porsche delivers 279,449 sports cars to customers in 2025 - Porsche Newsroom
Customer;CV;Daimler;Truck;Daimler Truck sales down 8% in 2025 - MarkLines Automotive Industry Portal;16.01.2026;Daimler Truck Absatz 2025: 422.510 Einheiten | Daimler Truck
Customer;CV;Construction;Yanmar;Yanmar CE makes production changes in Europe - Construction Briefing;16.01.2026;
News&Trends;Automotive;Trends;2026;Ten automotive industry predictions for 2026 - GlobalData;16.01.2026;
News&Trends;Automotive;Germany sales;December Sales;Germany - New car sales in 2025 by OEM, model, vehicle type - MarkLines Automotive Industry Portal;16.01.2026;
News&Trends;Automotive;US Sales;December Sales;Full-Year 2025 U.S. Auto Sales Report;16.01.2026;U.S. auto sales down 2.5% in December, up 1.9% for 2025 full year to 16.27 million units - MarkLines Automotive Industry Portal
News&Trends;Automotive;Europe sales;December Sales;GlobalData European Passenger Car Sales Update (December 2025) - MarkLines Automotive Industry Portal;16.01.2026;
News&Trends;Automotive;Autonomy;China;Shanghai to achieve large-scale application of high-level autonomous driving scenarios by 2027 - MarkLines Automotive Industry Portal;16.01.2026;
News&Trends;Automotive;NEV slow down;China;China’s NEV slowdown 'signals structural transition in global auto industry' - Just Auto;16.01.2026;
News&Trends;Automotive/CV;Trends;CES2026;CES 2026 Spotlights Automotive Technology, from AI to Software-Defined Vehicles | LinkedIn;16.01.2026;
News&Trends;Automotive/CV;Trends;CES2026;Report CES 2026;16.01.2026;
Competitor&Partnership;Automotive;Trim plant;Adient;Adient to close seat cover factory in Ploiesti, Romania, by mid-2027 - MarkLines Automotive Industry Portal;15.01.2026;
Competitor&Partnership;Automotive;Award;Yanfeng;https://www.linkedin.com/posts/yanfeng-global_yanfeng-designawards-innovation-activity-7417551178869370880-ZE68?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;15.01.2026;
Customer;CV;Construction;Komatsu;Komatsu expands electric mini excavator range in Europe - Construction Briefing;15.01.2026;
Customer;CV;Material Handling;Hyster;Hyster makes improvements to three-wheel stand up forklift | Industrial Vehicle Technology International;15.01.2026;
News&Trends;CV;Offroad;APAC Outlook;APAC construction outlook brightens despite labour and tariff risks - Construction Briefing;15.01.2026;
News&Trends;Automotive;China;December Sales;China’s December vehicle production, sales volumes decrease by 2.1% y/y, 6.2% y/y, respectively - MarkLines Automotive Industry Portal;15.01.2026;
News&Trends;CV;Offroad;TCO;Is total cost of ownership now the real measure of equipment value? - Construction Briefing;15.01.2026;
News&Trends;CV;Offroad;Italy Outlook;Italian tractor market rebounds with 13.7% growth in 2025 | Industrial Vehicle Technology International;15.01.2026;
Customer;Automotive;Sales 2025;Mercedes-Benz;"Mercedes-Benz sold 2.2 million cars and vans in 2025; Mercedes-AMG deliveries +7% and best-ever year for the G-Class | Mercedes-Benz Media";14.01.2026;Mercedes Benz Group's global sales down 10%, EV sales down 4% in 2025 - MarkLines Automotive Industry Portal
News&Trends;Automotive;2025;Sales;2025 automotive sales data highlights mixed global trends;14.01.2026;
News&Trends;CV;Offroad;Trends 2026;5 Non-Road Equipment Manufacturing Trends on the Horizon for 2026 - AEM | Association of Equipment Manufacturers;14.01.2026;
News&Trends;CV;Offroad;Trends 2026;Trendlines: Global construction equipment market review 2026 - Power Progress;14.01.2026;
News&Trends;CV;Offroad;Outlook;https://www.linkedin.com/posts/alastairhayfield_offhighway-future-construction-activity-7409520711788048384-Leg1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;13.01.2026;
News&Trends;CV;Construction;Germany Outlook;Construction activity in Germany increases for first time since 2022 - Construction Briefing;13.01.2026;
News&Trends;Automotive;EU;VDA;VDA welcomes EU-Mercosur trade agreement, to benefit German and EU automotive industry - MarkLines Automotive Industry Portal;13.01.2026;
News&Trends;Automotive;EU ;Chinese imports;EU guidance sets price undertaking route for Chinese EV imports;13.01.2026;
News&Trends;Automotive;China;NEV market;China NEV market slowdown drags global BEV growth down - Just Auto;13.01.2026;
Competitor&Partnership;Automotive;Award;Forvia;https://www.linkedin.com/posts/stephane-noel-8940261_heres-a-good-way-to-kick-off-the-year-and-activity-7416404488166645760-k-E4?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;12.01.2026;
Customer;Automotive;India;BMW;BMW Group India achieves record-breaking sales of 18,001 units in 2025 - The Tribune;12.01.2026;
Customer;Automotive;Italy;JAC ;JAC Group establishes new sales subsidiary in Italy - Just Auto;12.01.2026;
News&Trends;Automotive;Trends;2026;Automotive market trends 2026: Navigating volatility, innovation and opportunity;12.01.2026;
News&Trends;Automotive;Exhibition;CES2026;Beyond CES 2026: AI in the physical world;12.01.2026;
News&Trends;CV;Agriculture;China;China ripe for ag machinery boom;12.01.2026;
News&Trends;CV;Construction;US Outlook;Tariffs, labour shortages and funding fears cloud contractors’ 2026 outlook - Construction Briefing;12.01.2026;
News&Trends;Automotive;Outlook;Sales;Connect;12.01.2026;
Customer;Automotive;Oyak models;Renault;Historical Sales Record by MA?S: Renault Becomes the Leader of the Automotive Market — OYAK;09.01.2026;
Customer;Automotive;Production in Italy;Stellantis;Stellantis production in Italy declines by 20.1% in 2025 - MarkLines Automotive Industry Portal;09.01.2026;
Customer;Automotive;Sales 2025;Volvo;Volvo Cars reports December and 2025 sales | Volvo Cars Media Intl;08.01.2026;
Customer;Automotive;Green materials;Luxceed;Violet Purple + Mother-of-Pearl Accents! New Luxeed R7 interior design released | BitAuto Lesotho;08.01.2026;Luxeed's New Mother-of-Pearl Material - DVN
Customer;CV;Construction;Caterpillar;CES 2026: Caterpillar launches next era of industrial AI and automation | Industrial Vehicle Technology International;08.01.2026;
Customer;CV;Construction;Bobcat;Bobcat integrates AI, autonomy and electrification across CES 2026 lineup | Industrial Vehicle Technology International;08.01.2026;
News&Trends;Automotive/CV;EU;Steel Market;ACEA raises concerns over EU plan to extend steel market protections - MarkLines Automotive Industry Portal;08.01.2026;New steel safeguards: A blow to Europe’s industrial competitiveness - ACEA - European Automobile Manufacturers' Association
News&Trends;Automotive;Electrification;Battery overcapacity;China warns of battery industry overcapacity risks | Reuters;08.01.2026;
News&Trends;Automotive;Sales;2025;Connect;08.01.2026;Incoming 2025 sales data shows varied conditions across markets
Competitor&Partnership;CV;Truck/Bus;Isri;https://www.linkedin.com/posts/isri-de_wir-waren-als-speaker-auf-dem-volvo-buses-activity-7406972918636654592-tj0g?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;07.01.2026;
Competitor&Partnership;Automotive;Production line;Yanfeng;https://www.linkedin.com/posts/krauss-maffei_kraussmaffei-pioneeringplastics-reactionprocessmachinery-activity-7404520246281465856-Eh1c?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;07.01.2026;
Competitor&Partnership;Automotive;JV in China;Adient;Adient Formed a Joint Venture with SCI to Drive Growth in China;07.01.2026;
Competitor&Partnership;Automotive;New branch;Yanfeng;Yanfeng Safety establishes Yizheng branch in Yangzhou, Jiangsu - MarkLines Automotive Industry Portal;07.01.2026;
Customer;Automotive;China prices;BMW;https://evtrend.de/2026/01/bmw-senkt-preise-in-china-um-bis-zu-24/;07.01.2026;
Customer;CV;Construction;Hitachi;Hitachi to open Landcros R&D center in Europe - Construction Briefing;07.01.2026;
Customer;CV;Agriculture;John Deere;John Deere sales fall 12% in 2025 - Construction Briefing;07.01.2026;
Customer;CV;Construction;Komatsu;Komatsu debuts multifunction excavator in North America | Pit & Quarry;07.01.2026;
Customer;CV;Agriculture;John Deere;John Deere acquires construction tech firm - Construction Briefing;07.01.2026;
News&Trends;Automotive;Sales;Germany;Germany - New car sales in 2025 by OEM, model, vehicle type - MarkLines Automotive Industry Portal;07.01.2026;
News&Trends;Automotive;Regulation;2035 ICE ban;Europe shifts into reverse on EU 2035 ICE ban;07.01.2026;
News&Trends;Automotive;Crash test;China;Crash Test Technology International : 2025 issue;07.01.2026;https://www.linkedin.com/posts/automotive-interiors-world_caeri-automotive-automotiveinteriors-activity-7407466187145781248-slZv?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY
News&Trends;Automotive;Roland Berger;Future proof suppliers;Roland Berger_Future-proof automotive suppliers.pdf;07.01.2026;
Competitor&Partnership;Automotive;Cabin XiM 25;Yanfeng;https://www.linkedin.com/posts/yanfeng-global_yanfeng-insidexim25-experienceinmotion-activity-7394720827939704832-a8CB?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;05.12.2025;
News&Trends;Automotive;Market shares;Global;Post | LinkedIn;05.12.2025;
Customer;Automotive;Sales November;Li Auto;Connect;04.12.2025;
News&Trends;Automotive;China Sales;November;Connect;04.12.2025;
News&Trends;Automotive;Germany sales;November;Germany - New car sales in 2025 by OEM, model, vehicle type - MarkLines Automotive Industry Portal;04.12.2025;
News&Trends;CV;Offroad;Outlook;Exectuive Outlook Suggests Cautious Optimism Amid Global Disruption | OEM Off-Highway;04.12.2025;
Customer;CV;Agriculture;John Deere;John Deere sales fall 12% in 2025 - Construction Briefing;03.12.2025;
Customer;Automotive;European plant;Great Wall;GWM maps out 300,000-vehicle target by 2029;03.12.2025;
Customer;Automotive;Development cost cut;VW;Volkswagen targets 50% cut in EV costs with new Hefei test centre;03.12.2025;
Customer;Automotive;Micromobility;BMW;BMW & LUYUAN join hands to bring smart micromobility to cities – Telematics Wire;03.12.2025;
Customer;CV;Agriculture;John Deere;Deere Bets On A 2026 Turnaround For Farm Gear - Finimize;03.12.2025;
Customer;CV;Truck;Sinotruk;Sinotruk sets ambitious 2030 export goals | Automotive World;03.12.2025;
Customer;CV;Agriculture;Mahindra;SML Mahindra Sets New Record with Highest-Ever October Sales – Motorindia;03.12.2025;
Customer;Automotive;Sustainability;BMW;BMW Group sets new climate target for 2035 - MarkLines Automotive Industry Portal;03.12.2025;BMW Group sets new climate target for 2035: At least 60 million tons of CO2e savings compared to 2019 – another milestone on the road to net zero
Customer;CV;Truck;Daimler;Daimler Truck, Torc select Innoviz as lidar partner for autonomous trucks - MarkLines Automotive Industry Portal;03.12.2025;
Customer;Automotive;Sales November;Nio/Xpeng;Connect;03.12.2025;
Customer;Automotive;Sales November;BYD;Connect;03.12.2025;
Customer;CV;Construction;Doosan Bobcat;Doosan Bobcat looks to acquire Germany’s Wacker Neuson - Construction Briefing;03.12.2025;
News&Trends;CV;Off Highway outlook;McKinsey;Paving the way for off-highway equipment customers | McKinsey;03.12.2025;
News&Trends;Automotive;New market entrants;Product development;Accelerating automotive product development | McKinsey;03.12.2025;
News&Trends;Automotive;November;VDA Konjuktur Barometer;DicussionPaper;03.12.2025;
News&Trends;Automotive;Electrification;2035 ban;German Government to discuss 2035 combustion engine ban with European Union - MarkLines Automotive Industry Portal;03.12.2025;German chancellor pushes EU to soften 2035 combustion engine car ban
News&Trends;Automotive;US Sales;November;U.S. auto sales down 6.8% in November as EV demand weakens - MarkLines Automotive Industry Portal;03.12.2025;
Competitor&Partnership;CV;Agriculture;United Seats;UnitedSeats offer ‘Blue’ seat options for Ford, Landini and New Holland » UnitedSeats.com;01.12.2025;
Customer;CV;Truck;MAN;MAN Truck & Bus plans to cut 2,300 jobs in Germany over ten years - MarkLines Automotive Industry Portal;01.12.2025;
Customer;CV;Agriculture;Monarch Tractor;Monarch Tractor Faces Layoffs, Shutdown After $220M Raise Amid Ag-Tech Woes;01.12.2025;
Customer;CV;Construction;Volvo;Volvo CE to expand European footprint with new excavator factory - Construction Briefing;01.12.2025;
Customer;CV;Agriculture;Argo Tractors;https://www.linkedin.com/posts/teruelricardo_argo-tractors-created-a-smartphone-like-user-activity-7401172963443773440-KvQ6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;01.12.2025;Argo Tractors | Built with Qt
Customer;Automotive;Seating;Dongfeng;https://www.linkedin.com/posts/guang-yang-%E6%9D%A8%E5%85%89-47466b1a_automotivedesign-seatdesign-uxdesign-activity-7401183316617441280-SGRv?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;01.12.2025;
News&Trends;Automotive;OEMs;Market positioning;Marktpositionierung der Autohersteller 2025;01.12.2025;
News&Trends;CV;Truck;EPA rules;EPA to Proceed With 2027 NOx Rules Timeline - TT;01.12.2025;
News&Trends;Automotive;Car registrations;October ;"New car registrations: +1.4% in October 2025 year-to-date; battery-electric 16.4% market share";01.12.2025;
Customer;Automotive;Europe expansion;Xpeng;Xpeng sees Europe production expanding beyond Magna plant - Automotive News;20.11.2025;Connect
News&Trends;CV;Truck/Bus;EPA rules Q2 2026;Connect;20.11.2025;
News&Trends;Automotive;Outlook;November;November 2025 Light Vehicle Production Forecast | LinkedIn;19.11.2025;
News&Trends;CV;Construction;Q4 outlook;CECE Business Barometer;19.11.2025;
News&Trends;Automotive;China source;OEMs pressuring suppliers to avoid China-sourced inputs;https://connect.spglobal.com/document/Show/phoenix/6118772;19.11.2025;
Customer;CV;Truck;Tesla;8 years after its dramatic debut Tesla refreshes Semi truck | trans.info;18.11.2025;
News&Trends;CV;Agriculture;Aftermarket;Large Ag drops as used farm equipment faces financial pressure - Equipment Finance News;18.11.2025;
News&Trends;CV;Truck;Brazil ;Brazil enters into global agreement that changes the future of trucks and excludes biofuels until 2040 - CPG Click Oil and Gas;18.11.2025;
Customer;CV;Construction;Liebherr;Liebherr peilt neuen Umsatzrekord 2025 an;17.11.2025;
Competitor&Partnership;Automotive;Renault Clio;Forvia;https://www.linkedin.com/posts/thorsten-muschal-15810a5b_i-am-very-proud-to-see-forvias-advanced-ugcPost-7395058103467081728-jefE?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;14.11.2025;
Competitor&Partnership;CV;Agritechnica;Isri;https://www.linkedin.com/posts/isri-de_unser-kollege-christoph-kehmeier-hat-auf-activity-7394688160389046272-1R7b?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;13.11.2025;
Competitor&Partnership;Automotive;3D printing;Brose;https://www.linkedin.com/posts/brose_brose-sets-new-standards-in-3d-printing-activity-7394737640371101697-Lf7q?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;13.11.2025;
Competitor&Partnership;CV;Agritechnica;elobau;AGRITECHNICA VIDEO: Elobau presents new joysticks and controls | Industrial Vehicle Technology International;13.11.2025;
Customer;Automotive;China launch ID.UNYX 08;VW;VW ID. UNYX 08 unveiled: 5-meter EV, dual motors with 700 km range;12.11.2025;
Customer;Automotive;Strategy;Volvo;Volvo Cars outlines strategy for building a stronger, more profitable company | Volvo Cars Media Intl;12.11.2025;Volvo Cars unveils strategy to boost profitability and growth - MarkLines Automotive Industry Portal
Customer;CV;Agriculture;Zoomlion;AGRITECHNICA HIGHLIGHTS VIDEO 3: Zoomlion's concept combine, a mini Merlo, and more... | Industrial Vehicle Technology International;12.11.2025;
Customer;CV;Agriculture;Massey Ferguson;New Massey Ferguson machines make their global debut at Agritechnica | Industrial Vehicle Technology International;12.11.2025;
Customer;CV;Agriculture;John Deere;New machines from John Deere make their European debut at Agritechnica | Industrial Vehicle Technology International;12.11.2025;
Customer;CV;Agriculture;Claas;Claas' Axion 9.450 Terrra Trac named Tractor of the Year in the High Performance category | Industrial Vehicle Technology International;12.11.2025;
Customer;Automotive;Abroad sales;BYD;BYD aims for up to 1.6 million overseas sales in 2026, Citi says - CnEVPost;12.11.2025;Connect
Customer;Automotive;China;Tesla;Tesla retail sales in China hit 3-year low in Oct - CnEVPost;12.11.2025;
Customer;Automotive;China focused EV;VW;Volkswagen to roll out China-focused intelligent EV;12.11.2025;
Customer;Automotive;Omoda 7;Chery;Omoda 7 confirmed for UK market - Just Auto;12.11.2025;
Customer;Automotive;Rare earth free EV ;Renault;Renault explores Chinese source for rare-earth-free EV motor;12.11.2025;
News&Trends;CV;Construction;Europe;Buyers warn of steep reduction in new construction orders in Europe - Construction Briefing;12.11.2025;
News&Trends;CV;Agriculture;Agritechnica;Tractor of the Year 2026 awards announced at Agritechnica | Industrial Vehicle Technology International;12.11.2025;
News&Trends;CV;Agriculture;Agritechnica;AGRITECHNICA HIGHLIGHTS VIDEO 3: Zoomlion's concept combine, a mini Merlo, and more... | Industrial Vehicle Technology International;12.11.2025;
News&Trends;CV;Agriculture;Agritechnica;AGRITECHNICA VIDEO: Highlights, Part Two – JCB, Bobcat, Siloking and more... | Industrial Vehicle Technology International;12.11.2025;
News&Trends;CV;Agriculture;Agritechnica;AGRITECHNICA VIDEO: Autonomous tractors, new launches, electrification - the highlights, part one | Industrial Vehicle Technology International;12.11.2025;
Customer;CV;Truck;Iveco;Iveco adjusts profit outlook as defence sale looms | Reuters;11.11.2025;
Customer;Automotive;Seal U-Turkiye;BYD;BYD to build in Turkey to avoid EU tariffs, speed deliveries;11.11.2025;
Customer;CV;Construction;Hitachi ;Hitachi, Komatsu North American sales drop as tariff woes persist - Equipment Finance News;11.11.2025;
Customer;CV;Agriculture;Mahindra;Mahindra Farm Equipment Business Sells 72,071 Tractors in India during October 2025, registering a growth of 12%;11.11.2025;
News&Trends;Automotive;Sales October;Western Europe;GlobalData European Passenger Car Sales Update (October 2025) - MarkLines Automotive Industry Portal;11.11.2025;
News&Trends;Automotive;Sales October;China;China - New car sales in 2025 by OEM, model, vehicle type - MarkLines Automotive Industry Portal;11.11.2025;
Competitor&Partnership;CV;Agriculture;Preh;https://www.linkedin.com/posts/preh_new-product-for-a-new-customer-at-activity-7393593861278892032-BnsP?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;10.11.2025;
Customer;Automotive;Middle East expansion;BYD;BYD to introduce Yangwang Auto sub-brand into Middle East market - MarkLines Automotive Industry Portal;10.11.2025;
Customer;CV;Construction;Volvo;Volvo CE sales inch up 1%, driven by Europe - Construction Briefing;10.11.2025;
Customer;Automotive;Robotaxi;Xpeng;Xpeng showcases robotaxi and flying car systems | Automotive World;10.11.2025;
Customer;Automotive;New EV;Jaguar;Jaguar’s new electric car will debut in 2026 - electrive.com;10.11.2025;
Customer;CV;Construction;Liebherr;Liebherr remains strong in challenging market | Global Highways;10.11.2025;
Customer;CV;Truck;Daimler;https://www.ttnews.com/articles/daimler-earnings-q3-2025#:~:text=Key%20Takeaways%3A,in%20the%20year%2Dago%20period.;10.11.2025;
News&Trends;Automotive;Production resilience;China;China's market and production trends showing resilience - GlobalData - Just Auto;10.11.2025;
News&Trends;CV;Construction;Sales;Global construction equipment sales are still faltering. When will they recover? - Construction Briefing;10.11.2025;
Customer;CV;Truck;Daimler;Pressrelease | Daimler Truck;07.11.2025;
News&Trends;Automotive;Electrification;2035;In 10 Years, Electric Cars Will Only Be Half of the Global Market - Newsweek;07.11.2025;
News&Trends;Automotive;Electrification;Global outlook;ey-mobility-forecaster.pdf;07.11.2025;
Competitor&Partnership;Automotive;Armrest assembly;Yanfeng;https://www.linkedin.com/posts/yanfeng-global_yanfeng-innovation-manufacturing-activity-7392184142307885057-RwAZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;06.11.2025;
Customer;Automotive;In-house chip ;VW;Volkswagen to build in-house chip for China models;06.11.2025;
Customer;Automotive;Q3 results;Rivian;Rivian’s quarterly loss widens despite 78% revenue growth;06.11.2025;
Competitor&Partnership;Automotive/CV;Q3 results;Kongsberg;Kongsberg Automotive;05.11.2025;
Competitor&Partnership;Automotive/CV;Cooling solutions;FAW Jifeng;FAW Jiefang, Shell jointly launch innovative immersion cooling solution for CV batteries - MarkLines Automotive Industry Portal;05.11.2025;
Customer;Automotive;Brazil;VW;VW to offer hybrid version of all models from 2026 in Brazil - MarkLines Automotive Industry Portal;05.11.2025;
Customer;Automotive;Brazil;BMW;BMW establishes new technology hub in Brazil - MarkLines Automotive Industry Portal;05.11.2025;
Customer;Automotive;Q3 results;BMW;BMW Group on track to meet full-year targets;05.11.2025;
News&Trends;Automotive;Electrification;Germany charging stations;Germany’s EV charging network growth slows despite rising fast charger share - MarkLines Automotive Industry Portal;05.11.2025;
News&Trends;Automotive/CV;Green industries;China;China to vigorously develop green industries - MarkLines Automotive Industry Portal;05.11.2025;
Competitor&Partnership;CV;Suspension;United Seats;UnitedSeats all new air suspension LGV150 incoming » UnitedSeats.com;04.11.2025;
Competitor&Partnership;Automotive;Q3 results;Lear;Microsoft PowerPoint - Q3 2025 Earnings Presentation v_Final.pptx;04.11.2025;
Competitor&Partnership;Automotive;Q3 results;Forvia;FORVIA - AG 2025;04.11.2025;
Competitor&Partnership;Automotive/CV;Materi'act;Forvia;FORVIA’s MATERI'ACT supplies NAFILean sustainable materials for 6 million Stellantis vehicles - MarkLines Automotive Industry Portal;04.11.2025;FORVIA recognized as “Carbon Footprint reduction Supplier of the Year” by Stellantis | FORVIA
Customer;Automotive;Profit outlook;Audi;Audi trims profit outlook again as EV shift squeeze margins;04.11.2025;
Customer;Automotive;Platforms US;VW;Volkswagen to make additional investments in US, CFO says in Davos;04.11.2025;
Customer;CV;Agriculture;AGCO;AGCO's Q3 Results down 4.7% From 2024;04.11.2025;
Customer;CV;Construction;Doosan;"Doosan Bobcat Q3 Net Profit Rises 27.5%; Revenue Up 17.1%";04.11.2025;
Customer;CV;Construction;Caterpillar;Caterpillar Inc. - Caterpillar Reports Third-Quarter 2025 Results;04.11.2025;
Customer;CV;Agriculture;John Deere;deere-3q25-earnings-release.pdf;04.11.2025;
Customer;CV;Material Handling;Kion;Home | Quartalsmitteilung Q3 2025 | KION GROUP AG;04.11.2025;
News&Trends;CV;Aftermarket;Tractor data;TractorData.com - Farm tractors;04.11.2025;
News&Trends;Automotive/CV;Outlook;September update;Global economic outlook 2025 report | McKinsey;04.11.2025;
News&Trends;Automotive;US;Sales October;U.S. auto sales fall 5.1% in October as OEMs struggle to sell EVs as tax credits end - MarkLines Automotive Industry Portal;04.11.2025;
Customer;Automotive;Renault cooperation;Geely;Renault Group and Geely Strengthen their Cooperation with the Completion of a Partnership in Brazil : Media Center – Zhejiang Geely Holding Group;03.11.2025;
Customer;Automotive;Sales October;BYD;BYD’s global sales plunge 20% in October - Just Auto;03.11.2025;
Customer;CV;Truck;International Motors;International Motors Posts Q3 Loss on Sales Slump, eRH Exit - TT;03.11.2025;
Customer;CV;Construction;Komatsu;Komatsu raises full-year profit guidance despite 7% drop in Q2 earnings By Investing.com;03.11.2025;
Customer;CV;Agriculture;John Deere;John Deere Turns the Tractor Into a Data Machine;03.11.2025;
Customer;CV;Construction;Takeuchi;Takeuchi unveils new TCR50-3 crawler dumper | Industrial Vehicle Technology International;03.11.2025;
News&Trends;Automotive;Chip supply ;Nexperia;VDA, Germany, to set up a temporary information platform for Nexperia chip stocks - MarkLines Automotive Industry Portal;03.11.2025;
News&Trends;CV;Executive Summary;KGP;2951b88d;03.11.2025;
News&Trends;Automotive;Outlook;October ;2025 Light Vehicle Production Forecast | S&P Global;03.11.2025;
Customer;Automotive;Railway;Alstom;https://www.linkedin.com/posts/rollingstockworld_alstom-unveils-first-coradia-stream-emu-for-activity-7389541594800238592-OQea?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;30.10.2025;
News&Trends;CV;Truck/Bus;Registrations;New commercial vehicle registrations: vans -8.2%, trucks -9.8%, buses +3.6% in Q1-Q3 2025;30.10.2025;
Competitor&Partnership;CV;Agriculture;Preh;https://www.linkedin.com/posts/preh_agritechnica-2025-activity-7389235810795151360-e7G7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;29.10.2025;
Customer;Automotive;Europe;BYD;BYD in Europe seeks major expansion in coming years | S&P Global;29.10.2025;
Customer;CV;Construction;Hitachi;Hitachi Construction Machinery to become Landcros - Construction Briefing;29.10.2025;
Customer;Automotive;Q3 results;Mercedes-Benz;Mercedes-Benz Q3 earnings plunges amid China sales slump and US tariffs, but share price rises - The Economic Times;29.10.2025;
Customer;Automotive;Concept Elevance;Mitsubishi;Mitsubishi unveils Elevance concept at Tokyo show | Automotive World;29.10.2025;
News&Trends;Automotive;Electrification;Europe Q3;https://www.linkedin.com/posts/strategyand_electric-vehicles-are-moving-from-promise-activity-7389215776744038400-ljw3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAANyFQQBb1sBKvnwwGotvjRLAYg7DkqEjrY;29.10.2025;
News&Trends;Automotive;Europe;Chip crisis;Critical chip shortage worsens by the day;29.10.2025;
Competitor&Partnership;Automotive;In-mold coating;Toyoda Gosei;Toyoda Gosei and Kansai Paint jointly develop “in-mold coating technology” - MarkLines Automotive Industry Portal;28.10.2025;
Customer;CV;Truck;Paccar;Paccar Q3 Profit Tumbles on Truck Sales Slump - TT;28.10.2025;
Customer;Automotive;Vans Boulder;Mercedes-Benz;Mercedes-Benz Vans reinvents the transporter once again – tailored to the diversity of commercial customers | Mercedes-Benz Media;28.10.2025;Mercedes-Benz announces “THE BOuLDER” project for van segment - MarkLines Automotive Industry Portal
News&Trends;Automotive;Europe;Car registrations;"New car registrations: +0.9% in September 2025 year-to-date; battery-electric 16.1% market share";28.10.2025;
News&Trends;CV;Agriculture;Europe;US tariffs hit European ag machinery markets;28.10.2025;
Customer;Automotive;Profit drop;Porsche;Porsche's Operating Profits Have Plummeted;27.10.2025;
Customer;CV;Construction;Bobcat;Bobcat launches its ‘most powerful small articulated loader’ - Construction Briefing;27.10.2025;
Customer;Automotive;Net loss Q3;GAC;Connect;27.10.2025;
Customer;Automotive;Profit decline;Great Wall;Connect;27.10.2025;
News&Trends;Automotive;China-EU;Chip crisis;Nexperia’s shipment suspension arouses concern about semiconductor supply shortage again - MarkLines Automotive Industry Portal;27.10.2025;
News&Trends;Automotive;Europe;Affordable cars, E-Car;Connect;27.10.2025;
Competitor&Partnership;CV;Agriculture;COBO;Industrial Vehicle Technology : October 2025;24.10.2025;pg.23-107
Competitor&Partnership;CV;Agriculture;elobau;Industrial Vehicle Technology : October 2025;24.10.2025;pg.64
